Cliente,Venda / Aluguer,NOS / VDF,Report / Projeto / contrato,Técnicos,Intervenção,Motivo,Ação efetuada,Equipamentos,Bundles,Acessórios gastos,faturar,Validação Backoffice,Dados de Canbus via,Pino D8,Movimento Primavera,Armazém de saida de stock,Armazém de Entrada de stock,Equipamento assistido,Garantia Equipamento (1 ano) / Aluguer pago (3 anos),Contas Intranet
Jorsat,Venda,NOS,Não,,,,,,,,,,,,,,,,,
José Abilio Viegas,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Palyro,Venda,VDF,Não,,,,,,,,,,,,,,,,,
Quinta frio Hibrido,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Quinta dos Nogueirões,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
JUNIS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Justlight,Venda,NOS,Não,,,,,,,,,,,,,,,,,
4safe,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Keep On,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Godinho & Nascimento,Venda,NOS,Não,,,,,,,,,,,,,,,,,
LabLad,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Lacoviana,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Gonçalo Baeta,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Lameiras Mendes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Larcher de Brito,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Cargaker,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Lavrodouro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
LDS Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Leal Serra,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Leonel Jesus Duarte & Filho ,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Matesica,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Leoperjo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TIFF,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Licor Beirão,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
LIDERCISTER / TCPombalense,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Ligação Veloz,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Auto Viação Cura - Try and Buy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Limpa Canal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Lisbon B Tours,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Pedro Gomes Calixto,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Liscont,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Lucidecho Unipessoal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Litocartão,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Sgmfruit,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Lizbase,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
LLORETRANS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Systvertical,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Logicallis Portugal,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Continental Mabor - Try and Buy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Look Vibrant,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Lourdes Arez,Venda,NOS,Não,,,,,,,,,,,,,,,,,
J.J. Carvalho,Venda,NOS,Não,,,,,,,,,,,,,,,,,
LPAM,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Lubrigomes,Venda,,Não,,,,,,,,,,,,,,,,,
Luis & Filipe,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Luis Figueiredo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Luis Gomes TIR,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Blucargo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Luis Paiva,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Comossela,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Vigonorte - Try and Buy,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Luissantos,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Lusiaves,Aluguer,NOS,Report Lusiaves,,,,,,,,,,,,,,,,,
Lusitana-Sol,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Filipe Vasconcelos - Engenharia,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Synlabhealth II,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Madeicentro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Carmo Estruturas em Madeira,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportes Gomes & Albuquerque,Venda,NOS,Não,,,,,,,,,,,,,,,,,
FC Ferreira Equustir,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Continental Mabor,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Manuel Bragança,,,Não,,,,,,,,,,,,,,,,,
"Manuel Mendes, Lda",Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Marcarsolutions,Aluguer,,Não,,,,,,,,,,,,,,,,,
Marcia Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Margem Crescente,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Transportes André,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Mariano Ramos - Madeiras,Aluguer,Nos,Não,,,,,,,,,,,,,,,,,
Paraíso Florestal,Aluguer,Nos,Não,,,,,,,,,,,,,,,,,
Wing Junior,Venda,Nos,Não,,,,,,,,,,,,,,,,,
Sózó Portugal - Try and Buy,Venda,Nos,Não,,,,,,,,,,,,,,,,,
Tractorave - Maquinas Agricolas,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Materlis,,,Não,,,,,,,,,,,,,,,,,
MatosMix,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
MBA Transportes,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
mbrindes,,,Não,,,,,,,,,,,,,,,,,
MCMarques,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
MDIG,,,Não,,,,,,,,,,,,,,,,,
mdigital,,,Não,,,,,,,,,,,,,,,,,
Medixisval,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
MEG Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
MegaEnergia,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
MegaStock,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Transportes Machado & Brites,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Metalcario,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Metais Jaime Dias - Try and Buy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Metallik,Aluguer,,Não,,,,,,,,,,,,,,,,,
Metalurgica do Eucalipto,Venda,,Não,,,,,,,,,,,,,,,,,
Bigroad,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Joao Medeiros,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transportadora Ideal do Bairro de Alcântara - Try and Buy,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Aladatrajetória,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Mitac,Venda,NOS,Não,,,,,,,,,,,,,,,,,
MiltonAlves,Venda,NOS,Não,,,,,,,,,,,,,,,,,
miraflor,,,Não,,,,,,,,,,,,,,,,,
Misterwine,Venda,NOS,Não,,,,,,,,,,,,,,,,,
MJMonteiro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
MM Tedim,Venda,NOS,Não,,,,,,,,,,,,,,,,,
mmbiz,,,Não,,,,,,,,,,,,,,,,,
MMCarmo,,,Não,,,,,,,,,,,,,,,,,
MMCI,Aluguer,,Não,,,,,,,,,,,,,,,,,
Modis,NA,NOS,Não,,,,,,,,,,,,,,,,,
MP Araujo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
mradycal,,,Não,,,,,,,,,,,,,,,,,
mrent,,,Não,,,,,,,,,,,,,,,,,
mrg,,,Não,,,,,,,,,,,,,,,,,
MRW - Guimarães,,,Não,,,,,,,,,,,,,,,,,
msg d'avó,,,Não,,,,,,,,,,,,,,,,,
msurge,,,Não,,,,,,,,,,,,,,,,,
Multiborracha,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Mundialisol,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
mvinho,,,Não,,,,,,,,,,,,,,,,,
Nelcivil,,,Não,,,,,,,,,,,,,,,,,
nesmatex,,,Não,,,,,,,,,,,,,,,,,
neural,,,Não,,,,,,,,,,,,,,,,,
Neutralbinary,Venda,NOS,Não,,,,,,,,,,,,,,,,,
New Route,,,Não,,,,,,,,,,,,,,,,,
newair,,,Não,,,,,,,,,,,,,,,,,
NewDay NewTime,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Nidus,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
nlv,,,Não,,,,,,,,,,,,,,,,,
NÓBREGA,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Nossa Senhora da Paz,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Nogueira & Duarte,Venda,,Não,,,,,,,,,,,,,,,,,
Nortejuvil,Venda,NOS,Não,,,,,,,,,,,,,,,,,
NPBrothers,Venda,NOS,Não,,,,,,,,,,,,,,,,,
NSF Turismo,Venda,NOS,Não,,,,,,,,,,,,,,,,,
nucase,,,Não,,,,,,,,,,,,,,,,,
Number8,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Nuno Pereira,,,Não,,,,,,,,,,,,,,,,,
nutrihouse,,,Não,,,,,,,,,,,,,,,,,
Nutrimonte,,,Não,,,,,,,,,,,,,,,,,
O Rei na Barriga,,,Não,,,,,,,,,,,,,,,,,
Oceanfolio,Venda,NOS,Não,,,,,,,,,,,,,,,,,
oftaldata,,,Não,,,,,,,,,,,,,,,,,
OGCL,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Olga Branco,Venda,NOS,Não,,,,,,,,,,,,,,,,,
OMCASAS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Only The Best,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Optiforum,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Orfeon,,,Não,,,,,,,,,,,,,,,,,
ortopedia+,,,Não,,,,,,,,,,,,,,,,,
Ouriceira Tuk,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Output,,,Não,,,,,,,,,,,,,,,,,
Ovimafra,,,Não,,,,,,,,,,,,,,,,,
Ovnitur,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
P. Mendy,,,Não,,,,,,,,,,,,,,,,,
pabel,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
padariamimosa,,,Não,,,,,,,,,,,,,,,,,
Padrão Formal,Venda,,Não,,,,,,,,,,,,,,,,,
Paivatrans,,,Não,,,,,,,,,,,,,,,,,
Pangiter,,,Não,,,,,,,,,,,,,,,,,
Panike,Try and Buy,,Não,,,,,,,,,,,,,,,,,
PapeisJopel,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
papelnorte,,,Não,,,,,,,,,,,,,,,,,
Paulo Duarte,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Paulo Lourenço,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Paulo Moreira Diversoes,,,Não,,,,,,,,,,,,,,,,,
PaulosAuto,Venda,NOS,Não,,,,,,,,,,,,,,,,,
PBRAS,,,Não,,,,,,,,,,,,,,,,,
Pedro Cesar & Dias Pereira,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Pedro Ventura,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Pedro S Cardoso,Venda,NOS,Não,,,,,,,,,,,,,,,,,
peixoto & carmo,,,Não,,,,,,,,,,,,,,,,,
Pelichos,,,Não,,,,,,,,,,,,,,,,,
Pequimil,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Pereira & Pestana,,,Não,,,,,,,,,,,,,,,,,
C.A.C. II,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
perlea,,,Não,,,,,,,,,,,,,,,,,
Avenidas Invertidas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
PETROBOX,,,Não,,,,,,,,,,,,,,,,,
PetroIbérica,Venda,NOS,Não,,,,,,,,,,,,,,,,,
pferreira,,,Não,,,,,,,,,,,,,,,,,
pglobal,,,Não,,,,,,,,,,,,,,,,,
phcnorte,,,Não,,,,,,,,,,,,,,,,,
piqueteassiste,,,Não,,,,,,,,,,,,,,,,,
PJA Ferreira,,,Não,,,,,,,,,,,,,,,,,
PJNUNES,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Pj Pacheco,Venda,NOS,Não,,,,,,,,,,,,,,,,,
planejamento,,,Não,,,,,,,,,,,,,,,,,
Planeta Tours,,,Não,,,,,,,,,,,,,,,,,
plourunip,,,Não,,,,,,,,,,,,,,,,,
Plutão Soberano,Venda,NOS,Não,,,,,,,,,,,,,,,,,
PML,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Podio Planeta,,,Não,,,,,,,,,,,,,,,,,
Pormac,,,Não,,,,,,,,,,,,,,,,,
Portugal Alves,Venda,,Não,,,,,,,,,,,,,,,,,
PortugalAmigo,,,Não,,,,,,,,,,,,,,,,,
positive Layers,,,Não,,,,,,,,,,,,,,,,,
PPAnimações,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Pradil,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Pragmatikcity,,,Não,,,,,,,,,,,,,,,,,
Pragosa,Venda,NOS,Não,,,,,,,,,,,,,,,,,
previgarb,,,Não,,,,,,,,,,,,,,,,,
Prieto & Reis,Venda,,Não,,,,,,,,,,,,,,,,,
Prilux,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Prio,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Private Motion,,,Não,,,,,,,,,,,,,,,,,
PRODISTICA,,,Não,,,,,,,,,,,,,,,,,
PROEF - Eurico Ferreira,Aluguer,,Não,,,,,,,,,,,,,,,,,
PROEF France,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
PROEF S30,Aluguer,,Não,,,,,,,,,,,,,,,,,
Pronodis,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
PS Teletransporta,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
PSA Sines,,,Não,,,,,,,,,,,,,,,,,
Pura Ração,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Purafrota,Venda,NOS,Não,,,,,,,,,,,,,,,,,
qbarranco,Aluguer,,Não,,,,,,,,,,,,,,,,,
qmaia,,,Não,,,,,,,,,,,,,,,,,
qsv,,,Não,,,,,,,,,,,,,,,,,
Qualimais,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
QualquerPorto,,,Não,,,,,,,,,,,,,,,,,
Quantal S.A.,Aluguer,,Não,,,,,,,,,,,,,,,,,
Queen's Road Trans,Venda,,Não,,,,,,,,,,,,,,,,,
Queijaria Licinia,,,Não,,,,,,,,,,,,,,,,,
Quinta do Arneiro,Try & Buy,,Não,,,,,,,,,,,,,,,,,
Quinta do Barranco Longo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Quinta Frio,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Quinta Passadouro,,,Não,,,,,,,,,,,,,,,,,
quintas&filhos,,,Não,,,,,,,,,,,,,,,,,
quintat,,,Não,,,,,,,,,,,,,,,,,
racar,,,Não,,,,,,,,,,,,,,,,,
Radios Record,,,Não,,,,,,,,,,,,,,,,,
raramos,,,Não,,,,,,,,,,,,,,,,,
rb valor,,,Não,,,,,,,,,,,,,,,,,
RCL,Aluguer,,Não,,,,,,,,,,,,,,,,,
Ready Solutions,,,Não,,,,,,,,,,,,,,,,,
reboq24h,,,Não,,,,,,,,,,,,,,,,,
Recheio,,,Não,,,,,,,,,,,,,,,,,
Reconfinance,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rede Ambiente,,,Não,,,,,,,,,,,,,,,,,
redegas,,,Não,,,,,,,,,,,,,,,,,
refer,,,Não,,,,,,,,,,,,,,,,,
Rei dos Frangos,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Repele,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
resintex,,,Não,,,,,,,,,,,,,,,,,
resultidea,,,Não,,,,,,,,,,,,,,,,,
Retorta,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Ribeiro & Udno,Venda,NOS,Não,,,,,,,,,,,,,,,,,
ricardo inácia,,,Não,,,,,,,,,,,,,,,,,
Ricardo Inácio,,,Não,,,,,,,,,,,,,,,,,
Ritmos Absolutos,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Roypasa,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
roadmind,,,Não,,,,,,,,,,,,,,,,,
Rodalfabética,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rodonorte,Venda,NOS,Não,,,,,,,,,,,,,,,,,
rodriceifa,,,Não,,,,,,,,,,,,,,,,,
Rodrigo Lima - Alg. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rodrigo Lima - Alg. VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Rodrigo Lima - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rodrigo Lima - VDF,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Rodrigo Seifert,Aluguer,,Não,,,,,,,,,,,,,,,,,
Transgupex,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rolibérica,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rondas Alegres,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Ronsegur,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rosa Teixeira,,,Não,,,,,,,,,,,,,,,,,
Rubber Vulk,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rui Felgueiras,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rui Nunes - Alg. NOS,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rui Nunes - Alg. VDF,Aluguer,Vodafone,Não,,,,,,,,,,,,,,,,,
Rui Nunes - NOS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Rui Nunes - VDF,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Ruralsor,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rute Maria Lopes,Venda,NOS,Não,,,,,,,,,,,,,,,,,
SaborFrio,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Safemobility,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Salc-Hotel/Real Frio,Venda,NOS,Não,,,,,,,,,,,,,,,,,
SAM- Soc. Autom. Madeira,,,Não,,,,,,,,,,,,,,,,,
Sambiental,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Santa Casa da Misericórdia de Elvas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Sat Tune,Venda,NOS,Não,,,,,,,,,,,,,,,,,
sccaminhense,,,Não,,,,,,,,,,,,,,,,,
schnellecke,,,Não,,,,,,,,,,,,,,,,,
Scotturb,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Scotturb - virtuais,,,Não,,,,,,,,,,,,,,,,,
SDS,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Sebastião Pereira,,,Não,,,,,,,,,,,,,,,,,
secxxi,,,Não,,,,,,,,,,,,,,,,,
segurlega,,,Não,,,,,,,,,,,,,,,,,
Sem Gota,,,Não,,,,,,,,,,,,,,,,,
Semprebonita,Venda,NOS,Não,,,,,,,,,,,,,,,,,
sergiogaspar,,,Não,,,,,,,,,,,,,,,,,
Sernit,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Servilas,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Serviroad,Venda,NOS,Report Serviroad,,,,,,,,,,,,,,,,,
SEVIP,Aluguer,NOS,Nao,,,,,,,,,,,,,,,,,
SGCOIN,Aluguer,NOS,não,,,,,,,,,,,,,,,,,
SHB,Venda,NOS,Não,,,,,,,,,,,,,,,,,
shb_maquina,,,Não,,,,,,,,,,,,,,,,,
SilviCorgo,Aluguer,,Não,,,,,,,,,,,,,,,,,
Silvinhas,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
simbebe,,,Não,,,,,,,,,,,,,,,,,
siprex,,,Não,,,,,,,,,,,,,,,,,
Sisáqua,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
SkyToursLisbon,,,Não,,,,,,,,,,,,,,,,,
Slice Dimension,,,Não,,,,,,,,,,,,,,,,,
soar,,,Não,,,,,,,,,,,,,,,,,
Sociedade Pollux,Venda,,Não,,,,,,,,,,,,,,,,,
socimbal,,,Não,,,,,,,,,,,,,,,,,
Sofarinhas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Sogapal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Solblik,,,Não,,,,,,,,,,,,,,,,,
solucoesinteressantes,,,Não,,,,,,,,,,,,,,,,,
Solzaima,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Sondagens do Oeste,Venda,,Não,,,,,,,,,,,,,,,,,
Sotavinhos,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Sotecnisol,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Source of Efficiency,,,Não,,,,,,,,,,,,,,,,,
Sousa & Monteiro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
spaulo,,,Não,,,,,,,,,,,,,,,,,
Speedy Service,Venda,,Não,,,,,,,,,,,,,,,,,
SPNCC,,,Não,,,,,,,,,,,,,,,,,
spt,,,Não,,,,,,,,,,,,,,,,,
STBA Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
STBB,Venda,NOS,Não,,,,,,,,,,,,,,,,,
STEF,,,Não,,,,,,,,,,,,,,,,,
stillar,,,Não,,,,,,,,,,,,,,,,,
Stone Design,Venda,NOS,Não,,,,,,,,,,,,,,,,,
suinimoura,,,Não,,,,,,,,,,,,,,,,,
Sulvip,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Suministros,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
Sumol+ / D2C,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
superikos,,,Não,,,,,,,,,,,,,,,,,
supranor,,,Não,,,,,,,,,,,,,,,,,
Surprisedistance,,,Não,,,,,,,,,,,,,,,,,
Suzlon,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
SweetPet,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Sygniuss,Aluguer,,Não,,,,,,,,,,,,,,,,,
Systandai,Venda,NOS,Não,,,,,,,,,,,,,,,,,
T.M.P. Aluguer e Equipamentos,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
T.N.I. - Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Tagar,,,Não,,,,,,,,,,,,,,,,,
TapaChamas,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TAR,,,Não,,,,,,,,,,,,,,,,,
tavola iberica,Venda,NOS,Não,,,,,,,,,,,,,,,,,
,,,Não,,,,,,,,,,,,,,,,,
Taxis Veloso Ferraz,Venda,NOS,Não,,,,,,,,,,,,,,,,,
tbolota,,,Não,,,,,,,,,,,,,,,,,
TC Barreiro,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TCO Moçambique,Venda,,Não,,,,,,,,,,,,,,,,,
TCO Transportes,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TCPombalense,Aluguer,NOS,Report Pombalense,,,,,,,,,,,,,,,,,
TDN,,,,,,,,,,,,,,,,,,,,
TEC - Transportes Eduardo Cardoso,,,,,,,,,,,,,,,,,,,,
Tecamobil,,,,,,,,,,,,,,,,,,,,
TECCI,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TECCI - híbrido,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Tecnicalha,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TecnoPack,Venda,Vodafone,Não,,,,,,,,,,,,,,,,,
TecnoRedes,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Teixeiratrans - Transportes,Aluguer,,Não,,,,,,,,,,,,,,,,,
Castelbranco Pitra,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Rodomondego,Venda,NOS,Não,,,,,,,,,,,,,,,,,
teleferreiras,,,Não,,,,,,,,,,,,,,,,,
Teleperformance,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Telesat,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Telesgotos,Venda,NOS,Não,,,,,,,,,,,,,,,,,
temergencia,,,Não,,,,,,,,,,,,,,,,,
teodosio,,,Não,,,,,,,,,,,,,,,,,
teodosio2,,,Não,,,,,,,,,,,,,,,,,
termoave,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TFD - Transportes Ferreira e Domingues,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TFM - Transportes Ferrão Martins,Venda,NOS,Não,,,,,,,,,,,,,,,,,
tfr,,,Não,,,,,,,,,,,,,,,,,
thrp,,,Não,,,,,,,,,,,,,,,,,
thyssenkrupp,,,Não,,,,,,,,,,,,,,,,,
TiagoSerodio Transportes,,,Não,,,,,,,,,,,,,,,,,
TICJMA,,,Não,,,,,,,,,,,,,,,,,
Timaure Rodriguez,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Tintauto,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Tip Trails,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TKW Cargo,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
tlazaro2,,,Não,,,,,,,,,,,,,,,,,
TLD,,,Não,,,,,,,,,,,,,,,,,
tmb,,,Não,,,,,,,,,,,,,,,,,
TMC Mario,Venda,NOS,Não,,,,,,,,,,,,,,,,,
TMJSousa,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TML,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TModerna Cabeceirense,Aluguer,,Não,,,,,,,,,,,,,,,,,
tns,,,Não,,,,,,,,,,,,,,,,,
Tnda Transportes,Venda,NOS,Não,,,,,,,,,,,,,,,,,
Tomorrow's Adventure,,,Não,,,,,,,,,,,,,,,,,
Tovim Batista,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Toyota Caetano Portugal,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TP Distribuição,,,Não,,,,,,,,,,,,,,,,,
TP Logística,,,Não,,,,,,,,,,,,,,,,,
TP_TIC,,,Não,,,,,,,,,,,,,,,,,
TPCF,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
tpinheiro,,,Não,,,,,,,,,,,,,,,,,
Tr Júlio Vendas - Try and Buy,,NOS,Não,,,,,,,,,,,,,,,,,
TRACOCER,Venda,NOS,Não,,,,,,,,,,,,,,,,,
transbandeiras,,,Não,,,,,,,,,,,,,,,,,
Transcid,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transcidade,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
Transcoura,,,Não,,,,,,,,,,,,,,,,,
Transdefiro,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
TRANSDEV,,,Não,,,,,,,,,,,,,,,,,
transf29,,,Não,,,,,,,,,,,,,,,,,
transfervertice,,,Não,,,,,,,,,,,,,,,,,
transfon,,,Não,,,,,,,,,,,,,,,,,
Transfraga,Aluguer,NOS,Não,,,,,,,,,,,,,,,,,
